outcome,group_panel,cycle,round,mean,std_error,N
1,1,1,1,99.999626,.0002419393,1026
1,1,1,2,99.916267,.055446289,1033
1,1,1,3,99.654953,.14096341,1188
1,1,1,4,99.279488,.230976,1026
1,1,1,5,98.525795,.34296882,1033
1,1,1,6,98.013023,.35598195,1188
2,1,1,1,98.758934,.17767119,1026
2,1,1,2,97.957405,.22619875,1033
2,1,1,3,96.018517,.34337622,1188
2,1,1,4,93.931122,.47497702,1026
2,1,1,5,92.616974,.53830576,1033
2,1,1,6,93.319305,.47796005,1188
1,2,1,1,99.999718,.00023928487,741
1,2,1,2,99.944481,.055007461,743
1,2,1,3,99.860985,.090742461,780
1,2,1,4,99.542023,.20689531,741
1,2,1,5,98.801704,.36108449,743
1,2,1,6,98.294495,.39438793,780
1,2,2,1,99.83213,.13558561,741
1,2,2,2,99.57235,.15982604,780
1,2,2,3,99.02803,.24458362,1033
1,2,2,4,97.55014,.46204773,741
1,2,2,5,96.696999,.51794237,780
1,2,2,6,94.855438,.63332784,1033
2,2,1,1,98.978859,.17946453,741
2,2,1,2,98.205475,.21589272,743
2,2,1,3,97.029915,.3318361,780
2,2,1,4,94.862801,.49667275,741
2,2,1,5,93.400627,.58754963,743
2,2,1,6,94.44017,.50367212,780
2,2,2,1,95.847954,.37101728,741
2,2,2,2,96.807693,.38175178,780
2,2,2,3,93.4011,.44183922,1033
2,2,2,4,92.105263,.64677787,741
2,2,2,5,89.042732,.72479123,780
2,2,2,6,87.36689,.71031934,1033
1,3,1,1,99.999924,.000075286604,462
1,3,1,2,99.911842,.088080823,464
1,3,1,3,99.79287,.15095608,466
1,3,1,4,99.635231,.23956415,462
1,3,1,5,98.822929,.46744305,464
1,3,1,6,98.861328,.44635543,466
1,3,2,1,99.965057,.017055191,462
1,3,2,2,99.858749,.089904822,469
1,3,2,3,99.34407,.25957429,609
1,3,2,4,98.053246,.52010179,462
1,3,2,5,97.471741,.57863092,469
1,3,2,6,97.007523,.61837631,609
1,3,3,1,99.351921,.32697555,462
1,3,3,2,99.302452,.26238725,613
1,3,3,3,98.525093,.29162377,922
1,3,3,4,98.299278,.48817393,462
1,3,3,5,97.106133,.534235,613
1,3,3,6,94.323723,.6687693,922
2,3,1,1,99.011543,.23026831,462
2,3,1,2,98.376434,.25527081,464
2,3,1,3,97.775391,.37860358,466
2,3,1,4,95.995674,.52235979,462
2,3,1,5,94.066093,.74777991,464
2,3,1,6,95.844063,.596394,466
2,3,2,1,96.904762,.37521484,462
2,3,2,2,98.258705,.28997207,469
2,3,2,3,95.922279,.41703126,609
2,3,2,4,95.295815,.62500888,462
2,3,2,5,93.383087,.72950888,469
2,3,2,6,91.773399,.72158647,609
2,3,3,1,92.171715,.77949327,462
2,3,3,2,91.712891,.65535069,613
2,3,3,3,88.308029,.62568104,922
2,3,3,4,85.923523,.94434267,462
2,3,3,5,82.441544,.88344723,613
2,3,3,6,82.552422,.83798981,922
1,4,1,1,100,0,197
1,4,1,2,100,0,197
1,4,1,3,99.906013,.071490437,198
1,4,1,4,99.464134,.50825578,197
1,4,1,5,98.79335,.72377473,197
1,4,1,6,98.844276,.65907872,198
1,4,2,1,99.966476,.024135996,197
1,4,2,2,99.99662,.0019854738,198
1,4,2,3,99.659004,.18871197,232
1,4,2,4,98.319878,.7712577,197
1,4,2,5,98.921661,.42565015,198
1,4,2,6,98.274155,.78399593,232
1,4,3,1,99.466934,.50812203,197
1,4,3,2,99.075325,.48662093,230
1,4,3,3,98.500534,.45830771,392
1,4,3,4,99.044228,.4203746,197
1,4,3,5,97.716469,.75906515,230
1,4,3,6,97.776939,.57771367,392
1,4,4,1,99.952003,.02030199,204
1,4,4,2,99.795212,.074508823,365
1,4,4,3,98.781441,.4058857,392
1,4,4,4,97.147346,.961357,204
1,4,4,5,96.050491,.89027286,365
1,4,4,6,95.203865,.95599693,392
2,4,1,1,99.255501,.1890299,197
2,4,1,2,98.527916,.28916752,197
2,4,1,3,97.777779,.58270824,198
2,4,1,4,96.057533,.88070595,197
2,4,1,5,95.448395,.98325664,197
2,4,1,6,97.020203,.73505646,198
2,4,2,1,97.174278,.59140205,197
2,4,2,2,99.141411,.3228291,198
2,4,2,3,97.95977,.40753826,232
2,4,2,4,96.040611,.99118012,197
2,4,2,5,97.222221,.63094133,198
2,4,2,6,95.373566,.97542048,232
2,4,3,1,95.499153,.97342485,197
2,4,3,2,93.782608,1.0084575,230
2,4,3,3,92.261902,.84585303,392
2,4,3,4,90.829102,1.1758605,197
2,4,3,5,88.173912,1.3046867,230
2,4,3,6,89.56633,.97993141,392
2,4,4,1,95.767975,.57497805,204
2,4,4,2,92.520546,.6299606,365
2,4,4,3,86.751701,.86777669,392
2,4,4,4,83.267975,1.3902731,204
2,4,4,5,81.461189,1.2064364,365
2,4,4,6,83.418365,1.2351191,392
1,5,1,1,100,0,53
1,5,1,2,100,0,53
1,5,1,3,99.758453,.24154593,54
1,5,1,4,100,0,53
1,5,1,5,99.43615,.39757383,53
1,5,1,6,99.382599,.61728179,54
1,5,2,1,99.998192,.001647662,53
1,5,2,2,99.996773,.0032246907,54
1,5,2,3,99.906906,.08838544,55
1,5,2,4,99.898224,.091564715,53
1,5,2,5,99.448242,.54171538,54
1,5,2,6,99.621544,.37416488,55
1,5,3,1,100,0,53
1,5,3,2,99.50296,.49377695,54
1,5,3,3,97.417999,.968714,105
1,5,3,4,98.24202,1.0673954,53
1,5,3,5,97.976051,1.1285654,54
1,5,3,6,97.935997,1.0332156,105
1,5,4,1,99.98922,.01078163,53
1,5,4,2,99.562218,.27850574,92
1,5,4,3,98.518639,.60296631,105
1,5,4,4,95.387779,2.3509583,53
1,5,4,5,95.164185,1.9726789,92
1,5,4,6,95.826721,1.6790922,105
1,5,5,1,99.987358,.01088658,62
1,5,5,2,99.952835,.016552795,97
1,5,5,3,99.821815,.089629501,104
1,5,5,4,95.059662,2.4648044,62
1,5,5,5,95.196358,1.5559355,97
1,5,5,6,93.950378,2.0943899,104
2,5,1,1,99.056602,.48669913,53
2,5,1,2,98.490562,.69303232,53
2,5,1,3,99.259262,.68065155,54
2,5,1,4,95.28302,1.6322868,53
2,5,1,5,96.666664,1.2539246,53
2,5,1,6,96.666664,1.0162131,54
2,5,2,1,97.044022,.85969609,53
2,5,2,2,98.888885,.73723847,54
2,5,2,3,99.515152,.42743713,55
2,5,2,4,99.245285,.34359518,53
2,5,2,5,99.444443,.24530692,54
2,5,2,6,98.121208,.81495398,55
2,5,3,1,98.616348,.45285714,53
2,5,3,2,97.469139,.98097116,54
2,5,3,3,94.634918,1.3340163,105
2,5,3,4,93.522011,2.0047016,53
2,5,3,5,94.320984,1.7855996,54
2,5,3,6,94.730156,1.2971126,105
2,5,4,1,96.79245,.77745545,53
2,5,4,2,95.144928,.90184677,92
2,5,4,3,90.952377,1.4069384,105
2,5,4,4,87.169807,2.5324793,53
2,5,4,5,87.644928,2.1623459,92
2,5,4,6,90.126984,1.8156399,105
2,5,5,1,96.451614,1.2960389,62
2,5,5,2,92.989693,1.4675474,97
2,5,5,3,87.948715,1.635448,104
2,5,5,4,80.376343,3.4367056,62
2,5,5,5,80.58419,2.3279939,97
2,5,5,6,82.980766,2.6401148,104
